ordinal	top_index	sub_index	origin_tag	module_hint	hint_source	size	marshal_path	pyc_path	pyc_magic	first16_hex
332	332	0	X	args	marshal	52574	pylingual_bundle/bytecode_top0332__args.marshal	pylingual_bundle/bytecode_top0332__args.pyc	A70D0D0A	E3000000000000000000000000000000
333	333	0	X	setattr	marshal	4610	pylingual_bundle/bytecode_top0333__setattr.marshal	pylingual_bundle/bytecode_top0333__setattr.pyc	A70D0D0A	E3000000000000000000000000000000
334	334	0	X	uweb3.module	marshal	179922	pylingual_bundle/bytecode_top0334__uweb3_module.marshal	pylingual_bundle/bytecode_top0334__uweb3_module.pyc	A70D0D0A	E3000000000000000000000000000000
335	335	0	X	isclass	marshal	84773	pylingual_bundle/bytecode_top0335__isclass.marshal	pylingual_bundle/bytecode_top0335__isclass.pyc	A70D0D0A	E3000000000000000000000000000000
336	336	0	X	c	marshal	10756	pylingual_bundle/bytecode_top0336__c.marshal	pylingual_bundle/bytecode_top0336__c.pyc	A70D0D0A	E3000000000000000000000000000000
337	337	0	X	args	marshal	5758	pylingual_bundle/bytecode_top0337__args.marshal	pylingual_bundle/bytecode_top0337__args.pyc	A70D0D0A	E3000000000000000000000000000000
338	338	0	X	cls	marshal	22712	pylingual_bundle/bytecode_top0338__cls.marshal	pylingual_bundle/bytecode_top0338__cls.pyc	A70D0D0A	E3000000000000000000000000000000
339	339	0	X	callable	marshal	14191	pylingual_bundle/bytecode_top0339__callable.marshal	pylingual_bundle/bytecode_top0339__callable.pyc	A70D0D0A	E3000000000000000000000000000000
340	340	0	X	c	marshal	5214	pylingual_bundle/bytecode_top0340__c.marshal	pylingual_bundle/bytecode_top0340__c.pyc	A70D0D0A	E3000000000000000000000000000000
341	341	0	X	args	marshal	5985	pylingual_bundle/bytecode_top0341__args.marshal	pylingual_bundle/bytecode_top0341__args.pyc	A70D0D0A	E3000000000000000000000000000000
342	342	0	X	uweb3.module	marshal	7770	pylingual_bundle/bytecode_top0342__uweb3_module.marshal	pylingual_bundle/bytecode_top0342__uweb3_module.pyc	A70D0D0A	E3000000000000000000000000000000
343	343	0	X	uweb3.module	marshal	359959	pylingual_bundle/bytecode_top0343__uweb3_module.marshal	pylingual_bundle/bytecode_top0343__uweb3_module.pyc	A70D0D0A	E3000000000000000000000000000000
344	344	0	X	urlp.sedes.text	marshal	1099	pylingual_bundle/bytecode_top0344__urlp_sedes_text.marshal	pylingual_bundle/bytecode_top0344__urlp_sedes_text.pyc	A70D0D0A	E3000000000000000000000000000000
345	345	0	X	upygments.style	marshal	2230	pylingual_bundle/bytecode_top0345__upygments_style.marshal	pylingual_bundle/bytecode_top0345__upygments_style.pyc	A70D0D0A	E3000000000000000000000000000000
346	346	0	X	uweb3.module	marshal	376	pylingual_bundle/bytecode_top0346__uweb3_module.marshal	pylingual_bundle/bytecode_top0346__uweb3_module.pyc	A70D0D0A	E3000000000000000000000000000000
347	347	0	X	uweb3.module	marshal	693	pylingual_bundle/bytecode_top0347__uweb3_module.marshal	pylingual_bundle/bytecode_top0347__uweb3_module.pyc	A70D0D0A	E3000000000000000000000000000000
348	348	0	X	isclass	marshal	8527	pylingual_bundle/bytecode_top0348__isclass.marshal	pylingual_bundle/bytecode_top0348__isclass.pyc	A70D0D0A	E3000000000000000000000000000000
349	349	0	X	__main__	marshal	2533	pylingual_bundle/bytecode_top0349____main.marshal	pylingual_bundle/bytecode_top0349____main.pyc	A70D0D0A	E3000000000000000000000000000000
350	350	0	X	uweb3.module	marshal	1197	pylingual_bundle/bytecode_top0350__uweb3_module.marshal	pylingual_bundle/bytecode_top0350__uweb3_module.pyc	A70D0D0A	E3000000000000000000000000000000
351	351	0	X	uweb3.module	marshal	3148	pylingual_bundle/bytecode_top0351__uweb3_module.marshal	pylingual_bundle/bytecode_top0351__uweb3_module.pyc	A70D0D0A	E3000000000000000000000000000000
352	352	0	X	uweb3.module	marshal	5002	pylingual_bundle/bytecode_top0352__uweb3_module.marshal	pylingual_bundle/bytecode_top0352__uweb3_module.pyc	A70D0D0A	E3000000000000000000000000000000
353	353	0	X	uweb3.module	marshal	545	pylingual_bundle/bytecode_top0353__uweb3_module.marshal	pylingual_bundle/bytecode_top0353__uweb3_module.pyc	A70D0D0A	E3000000000000000000000000000000
354	354	0	X	c	marshal	5050	pylingual_bundle/bytecode_top0354__c.marshal	pylingual_bundle/bytecode_top0354__c.pyc	A70D0D0A	E3000000000000000000000000000000
355	355	0	X	upygments.styles.material	marshal	12176	pylingual_bundle/bytecode_top0355__upygments_styles_material.marshal	pylingual_bundle/bytecode_top0355__upygments_styles_material.pyc	A70D0D0A	E3000000000000000000000000000000
356	356	0	X	__main__	marshal	18836	pylingual_bundle/bytecode_top0356____main.marshal	pylingual_bundle/bytecode_top0356____main.pyc	A70D0D0A	E3000000000000000000000000000000
357	357	0	X	__main__	marshal	1670	pylingual_bundle/bytecode_top0357____main.marshal	pylingual_bundle/bytecode_top0357____main.pyc	A70D0D0A	E3000000000000000000000000000000
358	358	0	X	urlp.sedes.text	marshal	1924	pylingual_bundle/bytecode_top0358__urlp_sedes_text.marshal	pylingual_bundle/bytecode_top0358__urlp_sedes_text.pyc	A70D0D0A	E3000000000000000000000000000000
359	359	0	X	__main__	marshal	2378	pylingual_bundle/bytecode_top0359____main.marshal	pylingual_bundle/bytecode_top0359____main.pyc	A70D0D0A	E3000000000000000000000000000000
360	360	0	X	__main__	marshal	1207	pylingual_bundle/bytecode_top0360____main.marshal	pylingual_bundle/bytecode_top0360____main.pyc	A70D0D0A	E3000000000000000000000000000000
361	361	0	X	__main__	marshal	7903	pylingual_bundle/bytecode_top0361____main.marshal	pylingual_bundle/bytecode_top0361____main.pyc	A70D0D0A	E3000000000000000000000000000000
362	362	0	X	__main__	marshal	5900	pylingual_bundle/bytecode_top0362____main.marshal	pylingual_bundle/bytecode_top0362____main.pyc	A70D0D0A	E3000000000000000000000000000000
363	363	0	X	__main__	marshal	8260	pylingual_bundle/bytecode_top0363____main.marshal	pylingual_bundle/bytecode_top0363____main.pyc	A70D0D0A	E3000000000000000000000000000000
364	364	0	X	urlp.sedes.text	marshal	4179	pylingual_bundle/bytecode_top0364__urlp_sedes_text.marshal	pylingual_bundle/bytecode_top0364__urlp_sedes_text.pyc	A70D0D0A	E3000000000000000000000000000000
365	365	0	X	__main__	marshal	17621	pylingual_bundle/bytecode_top0365____main.marshal	pylingual_bundle/bytecode_top0365____main.pyc	A70D0D0A	E3000000000000000000000000000000
366	366	0	X	uweb3.module	marshal	1342	pylingual_bundle/bytecode_top0366__uweb3_module.marshal	pylingual_bundle/bytecode_top0366__uweb3_module.pyc	A70D0D0A	E3000000000000000000000000000000
367	367	0	X	uweb3.module	marshal	6102	pylingual_bundle/bytecode_top0367__uweb3_module.marshal	pylingual_bundle/bytecode_top0367__uweb3_module.pyc	A70D0D0A	E3000000000000000000000000000000
