item,reference
5.161.86.32,Unknown
5.181.4.201,Unknown
5.181.4.247,Unknown
5.183.8.95,Unknown
5.188.33.146,Unknown
5.188.70.192,Unknown
5.188.122.162,Unknown
5.188.230.53,Unknown
5.189.189.190,Unknown
5.206.224.61,Unknown
5.206.224.161,Unknown
5.206.224.244,Unknown
5.206.227.115,Unknown
5.206.227.187,Unknown
5.206.227.206,Unknown
5.230.65.11,Unknown
5.230.195.46,Unknown
5.231.2.31,Unknown
5.252.176.20,Unknown
5.252.178.85,Unknown
5.252.179.34,Unknown
8.134.161.186,Unknown
8.135.99.111,Unknown
8.208.10.127,Unknown
8.208.11.95,Unknown
8.208.20.116,Unknown
8.208.77.85,Unknown
8.208.78.246,Unknown
8.208.88.169,Unknown
8.209.107.30,Unknown
8.209.215.91,Unknown
8.210.12.187,Unknown
8.210.55.226,Unknown
8.210.83.1,Unknown
8.210.94.253,Unknown
8.210.125.140,Unknown
8.210.211.254,Unknown
8.210.234.86,Unknown
8.210.237.21,Unknown
8.210.245.3,Unknown
8.211.183.195,Unknown
8.212.1.156,Unknown
8.213.213.195,Unknown
8.215.27.52,Unknown
8.215.32.173,Unknown
8.217.0.195,Unknown
8.217.8.166,Unknown
8.217.18.224,Unknown
8.217.114.94,Unknown
8.217.126.107,Unknown
8.217.145.66,Unknown
8.217.146.153,Unknown
8.217.152.126,Unknown
8.218.25.153,Unknown
8.218.69.31,Unknown
8.218.99.161,Unknown
8.218.227.254,Unknown
8.219.5.95,Unknown
8.219.106.245,Unknown
8.222.160.16,Unknown
8.222.229.97,Unknown
8.222.231.212,Unknown
9.9.7.42,Unknown
12.97.46.148,Unknown
12.157.226.135,Unknown
13.36.103.51,Unknown
13.40.60.72,Unknown
13.41.14.155,Unknown
13.48.43.85,Unknown
13.48.190.153,Unknown
13.49.145.217,Unknown
13.50.239.127,Unknown
13.51.197.190,Unknown
13.52.46.69,Unknown
13.52.107.175,Unknown
13.53.243.132,Unknown
13.57.34.86,Unknown
13.58.101.5,Unknown
13.59.8.88,Unknown
13.64.171.181,Unknown
13.65.102.43,Unknown
13.65.215.106,Unknown
13.65.245.205,Unknown
13.66.1.3,Unknown
13.66.4.22,Unknown
13.66.4.56,Unknown
13.66.8.32,Unknown
13.66.28.137,Unknown
13.66.31.113,Unknown
13.66.49.248,Unknown
13.66.252.220,Unknown
13.68.147.249,Unknown
13.68.157.61,Unknown
13.68.191.5,Unknown
13.68.211.116,Unknown
13.68.225.143,Unknown
13.70.107.108,Unknown
13.71.162.135,Unknown
13.71.162.233,Unknown
13.71.163.53,Unknown
13.72.99.227,Unknown
13.73.16.128,Unknown
13.73.23.121,Unknown
13.75.66.94,Unknown
13.77.43.208,Unknown
13.77.45.25,Unknown
13.77.167.119,Unknown
13.77.173.120,Unknown
13.77.202.57,Unknown
13.77.202.61,Unknown
13.77.205.248,Unknown
13.77.220.204,Unknown
13.78.128.82,Unknown
13.78.132.108,Unknown
13.78.136.111,Unknown
13.78.142.46,Unknown
13.78.215.193,Unknown
13.78.231.32,Unknown
13.80.123.101,Unknown
13.82.43.71,Unknown
13.82.85.210,Unknown
13.82.181.207,Unknown
13.82.198.132,Unknown
13.87.80.223,Unknown
13.88.224.185,Unknown
13.88.225.110,Unknown
13.88.226.240,Unknown
13.88.233.22,Unknown
13.88.242.159,Unknown
13.88.251.126,Unknown
13.88.255.116,Unknown
13.89.52.160,Unknown
13.90.90.194,Unknown
13.90.97.21,Unknown
13.90.132.166,Unknown
13.91.40.148,Unknown
13.91.41.232,Unknown
13.92.102.14,Unknown
13.92.114.193,Unknown
13.92.128.226,Unknown
13.92.179.132,Unknown
13.92.229.16,Unknown
13.94.119.209,Unknown
13.124.61.131,Unknown
13.124.126.13,Unknown
13.125.249.136,Unknown
13.126.65.8,Unknown
13.126.83.160,Unknown
13.127.28.239,Unknown
13.127.162.62,Unknown
13.208.144.120,Unknown
13.208.175.77,Unknown
13.208.182.63,Unknown
13.212.81.181,Unknown
13.215.48.93,Unknown
13.228.152.129,Unknown
13.229.247.107,Unknown
13.232.133.100,Unknown
13.233.95.63,Unknown
13.233.108.23,Unknown
13.234.159.145,Unknown
13.236.85.17,Unknown
14.28.9.89,Unknown
14.49.36.212,Unknown
14.63.175.171,Unknown
14.73.39.9,Unknown
14.89.85.91,Unknown
14.95.93.53,Unknown
14.98.88.51,Unknown
14.99.25.39,Unknown
14.225.207.247,Unknown
14.225.254.138,Unknown
14.246.105.83,Unknown
15.25.61.3,Unknown
15.63.48.59,Unknown
15.69.30.70,Unknown
15.152.44.196,Unknown
15.152.47.8,Unknown
15.223.96.208,Unknown
15.229.8.125,Unknown
16.3.38.90,Unknown
16.7.22.64,Unknown
16.12.38.23,Unknown
16.16.156.85,Unknown
16.84.45.91,Unknown
16.170.165.198,Unknown
16.171.206.42,Unknown
17.13.32.60,Unknown
17.50.29.96,Unknown
